                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211029"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                        lg_mtransfer_rate                                    J_orb 
                                       1                  2.4392420598661126E+000                  6.5000000000000000E+001                 -9.8999999999999986E+001                  3.8725489996435847E-001                  4.7063144427980838E+001                  4.7044033449699407E+000                  5.7509300269963335E+000                  9.7705083452051742E+000                  4.2709683900341560E+000                  5.7383366441637607E-001                  4.6110104393178250E+002                  7.6457571272550817E+000                  4.2777532411052760E-001                  1.6419816691179825E+001                  7.5141367115029045E-001                  2.4824600475677464E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.3646666666666676E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5311743445456261E-001                  1.4043651521719028E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       2                  5.3663325317054476E+000                  6.5000000000000000E+001                 -9.8999999999999986E+001                  4.6643614601198324E-001                  4.7051013324256154E+001                  4.7044075409792008E+000                  5.7509360196210979E+000                  9.7703869564549830E+000                  4.2709791814464344E+000                  5.7383916627396070E-001                  4.6110708526977720E+002                  7.6457651805402698E+000                  4.2780006057169107E-001                  1.6419849243683871E+001                  7.5141332042117692E-001                  2.4824601056608742E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.4211666666666669E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5310048233101461E-001                  1.4042234643923482E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       3                  8.8788410979126500E+000                  6.5000000000000000E+001                 -9.8999999999999986E+001                  5.4561739205960802E-001                  4.7027945027395511E+001                  4.7044150618913250E+000                  5.7509445299811226E+000                  9.7701442907436657E+000                  4.2710007547349074E+000                  5.7384438026802276E-001                  4.6111609592427692E+002                  7.6457804600172938E+000                  4.2784699613461186E-001                  1.6419911074165160E+001                  7.5141291780924091E-001                  2.4824601823885595E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.4718333333333335E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5306862147838049E-001                  1.4039402193160433E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       4                  1.3093851377361291E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  6.2479863810723291E-001                  4.6990050746526038E+001                  4.7044277601765279E+000                  5.7509580191164238E+000                  9.7697246933216100E+000                  4.2710380587404151E+000                  5.7385290066183847E-001                  4.6113104016795438E+002                  7.6458064969541368E+000                  4.2792693122975506E-001                  1.6420016464948496E+001                  7.5141245857966821E-001                  2.4824602842032467E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.5233333333333334E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5301302384880505E-001                  1.4034504554215799E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       5                  1.8151863712699662E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  7.0397988415485768E-001                  4.6931080832618306E+001                  4.7044479097218419E+000                  5.7509787654433211E+000                  9.7690515141562102E+000                  4.2710979105947739E+000                  5.7386959465116316E-001                  4.6115738619128081E+002                  7.6458482577181428E+000                  4.2805502734255035E-001                  1.6420185485485916E+001                  7.5141193961774644E-001                  2.4824604196370273E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.5784999999999996E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5292404587371139E-001                  1.4026647050037097E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       6                  2.4221478515105705E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  7.8316113020248257E-001                  4.6878933031167207E+001                  4.7044793792407109E+000                  5.7510114744208432E+000                  9.7680036941374375E+000                  4.2711910796927297E+000                  5.7387836944605874E-001                  4.6118443943940429E+002                  7.6459125019735863E+000                  4.2825189315023077E-001                  1.6420445434410261E+001                  7.5141135740708276E-001                  2.4824606007670391E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.6278333333333341E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5278432761454608E-001                  1.4014416650465616E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       7                  3.1505016277992958E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  8.6234237625010735E-001                  4.6788754740669070E+001                  4.7045274973469393E+000                  5.7510623956924940E+000                  9.7664119636563029E+000                  4.2713326308459916E+000                  5.7386655962959399E-001                  4.6120490973112669E+002                  7.6460082942107146E+000                  4.2854508562924237E-001                  1.6420832869574578E+001                  7.5141071505707524E-001                  2.4824608421287911E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.6769999999999998E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5257180723817526E-001                  1.3995837601157901E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       8                  4.0245261593457663E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  9.4152362229773223E-001                  4.6636045765574821E+001                  4.7045989386274130E+000                  5.7511388429471344E+000                  9.7640586776880891E+000                  4.2715419487132458E+000                  5.7382400056289495E-001                  4.6121423866889614E+002                  7.6461476963832764E+000                  4.2897127514703787E-001                  1.6421396435793035E+001                  7.5141001408490660E-001                  2.4824611648671860E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.7340000000000002E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5225825878929972E-001                  1.3968369498638783E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
                                       9                  5.0733555972015310E+001                  6.5000000000000000E+001                 -9.8999999999999986E+001                  1.0207048683453570E+000                  4.6461277679360997E+001                  4.7047026974492088E+000                  5.7512507442571330E+000                  9.7606516559071608E+000                  4.2718450826904304E+000                  5.7372485281982599E-001                  4.6119650653242377E+002                  7.6463463801685991E+000                  4.2957782855702820E-001                  1.6422199159448908E+001                  7.5140926926374940E-001                  2.4824615913845308E-001                  7.5141400000000047E-001                  2.4824600000000022E-001                  5.7911666666666661E-001                  1.1000000000000001E+000                  2.2998163663684199E+001                  5.0949854584379392E+002                  5.4869074167793190E+002                  8.8624019753223138E+000                  8.5673408513620171E+000                  1.5180521788643836E-001                  1.3928601946021954E-001                 -9.8999999999999986E+001                  1.1355580996771243E+055 
