                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20211116"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                           mass_conv_core                                 log_Teff                                    log_L                                   radius                                    log_g                   surf_avg_Lrad_div_Ledd                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               surface_h1                              surface_he4                          runtime_minutes                                 tau_wind                                    Tstar                              simple_dXdQ                       env_binding_energy                                     menv                                simple_eb                                   lambda                                     dxdq                                       x2                           max_gradr_hbot 
                                       1                  1.7677669529663690E+004                  1.9999999967119044E+000                 -1.2730480580307864E+001                  4.2474250108400469E+000                  3.3678630793861558E-001                  4.0837487715295264E+000                  1.4487743446297985E+000                  1.2026755048973183E+000                  4.5786224169461622E+000                  1.8554569253728170E-002                  7.3691530172238089E+000                  1.9339623803097028E+000                  1.7448146244408260E+001                  7.4595128101225938E-001                  2.5184488980003394E-001                  7.4598059315035781E-001                  2.5184029282398079E-001                  4.8516666666666666E-002                  8.9036155710604583E-006                  4.0842804557142456E+000                  7.4598008262281201E-001                  1.0426506596130943E+049                  1.9999999967119069E+000                  1.2620486246200238E+049                  1.2104232735903544E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.4329584668840937E+004                  1.9999999859551807E+000                 -1.2737914397197970E+001                  4.1323414563543368E+000                  5.2216423647858168E-001                  4.0769041639871331E+000                  1.4177833221518423E+000                  1.1976837842065500E+000                  4.5822350069187516E+000                  1.8088799807380644E-002                  7.3652486023122474E+000                  1.9154133700381217E+000                  1.7425627533824610E+001                  7.4592634772091726E-001                  2.5185792115669264E-001                  7.4598059315035625E-001                  2.5184029282397991E-001                  3.0060000000000003E-001                  9.1677139613987963E-006                  4.0774248786078617E+000                  7.4598008262281601E-001                  1.0285239479062841E+049                  1.9999999859551847E+000                  1.2673085922245073E+049                  1.2321624545585987E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  1.9544210018955314E+005                  1.9999999644722459E+000                 -1.2755613894855493E+001                  4.5282476865924606E+000                  3.5346571700921187E-001                  4.0760428555196535E+000                  1.4088528217807912E+000                  1.1901440679861697E+000                  4.5877202687549241E+000                  1.7854967607361494E-002                  7.3658879711299265E+000                  1.9272305092009012E+000                  1.7438100170387099E+001                  7.4588393929690788E-001                  2.5189904340433356E-001                  7.4598059315035903E-001                  2.5184029282398124E-001                  6.3211666666666666E-001                  8.9564482197187464E-006                  4.0765605589827389E+000                  7.4598008262281423E-001                  1.0331767604548700E+049                  1.9999999644722419E+000                  1.2753371282635394E+049                  1.2343842574450232E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  4.9680879481005168E+005                  1.9999999106057895E+000                 -1.2739287262192898E+001                  4.9241539168305843E+000                  3.3817998510952790E-001                  4.0805909326172660E+000                  1.4269972539001428E+000                  1.1900784695361548E+000                  4.5877681333290701E+000                  1.8060983660027181E-002                  7.3695288083875692E+000                  1.9462184640990527E+000                  1.7460749373578448E+001                  7.4576418773770992E-001                  2.5201953113619463E-001                  7.4598059315035792E-001                  2.5184029282398096E-001                  9.3471666666666664E-001                  9.0690006103952139E-006                  4.0811127545044945E+000                  7.4598008262281645E-001                  1.0434197377122998E+049                  1.9999999106057844E+000                  1.2754073575640522E+049                  1.2223339385551455E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  1.2467055683681306E+006                  1.9999997715373476E+000                 -1.2734024899295241E+001                  5.3200601470687090E+000                  3.6588875402207505E-001                  4.0824791320591300E+000                  1.4267949580853967E+000                  1.1795002883075274E+000                  4.5955231967129411E+000                  1.8124230662591358E-002                  7.3726877835830580E+000                  1.9524405040455959E+000                  1.7470058520523686E+001                  7.4546036956009321E-001                  2.5232487995321717E-001                  7.4598059315035947E-001                  2.5184029282398107E-001                  1.3036500000000000E+000                  9.2485907795167125E-006                  4.0829985392449331E+000                  7.4598008262282178E-001                  1.0501430050321293E+049                  1.9999997715373563E+000                  1.2868454887959475E+049                  1.2254002384718796E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  3.1126887079481687E+006                  1.9999994316934893E+000                 -1.2739928384968550E+001                  5.7159663773068328E+000                  3.6885543058437747E-001                  4.0816455221463110E+000                  1.4246451912584812E+000                  1.1811101122135483E+000                  4.5943384500924083E+000                  1.8063318005326158E-002                  7.3721072033448536E+000                  1.9502088245263358E+000                  1.7466989378890272E+001                  7.4468367793529544E-001                  2.5310504188780319E-001                  7.4598059315035836E-001                  2.5184029282398074E-001                  1.6821666666666668E+000                  9.1405598890679480E-006                  4.0821647047351055E+000                  7.4598008262283244E-001                  1.0482134600265638E+049                  1.9999994316934793E+000                  1.2850911134531268E+049                  1.2259822664560709E+000                  7.4599999189376842E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  7.7558518738279669E+006                  1.9999985820907134E+000                 -1.2736367049097113E+001                  6.1118726075449565E+000                  3.6886575480582834E-001                  4.0807845602721997E+000                  1.4261120361355288E+000                  1.1878065996945404E+000                  4.5894275732299263E+000                  1.8100707853251637E-002                  7.3710392233635282E+000                  1.9464897671910373E+000                  1.7461565669236844E+001                  7.4274217929309094E-001                  2.5505441286089364E-001                  7.4598059315035725E-001                  2.5184029282398007E-001                  2.0600666666666667E+000                  9.1553920262116923E-006                  4.0813065926498133E+000                  7.4598008262286164E-001                  1.0443333418477729E+049                  1.9999985820907065E+000                  1.2778450802087005E+049                  1.2235988539327565E+000                  7.4599999189376820E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      35                  1.9309527642749988E+007                  1.9999964442632530E+000                 -1.2730550655753159E+001                  6.5077788377830812E+000                  3.7072050375158672E-001                  4.0791796086814918E+000                  1.4286230895142520E+000                  1.2000826687814101E+000                  4.5804962492644590E+000                  1.8170330175131182E-002                  7.3694820575431752E+000                  1.9397886142628367E+000                  1.7451733833912687E+001                  7.3792405784742476E-001                  2.5988853642083226E-001                  7.4598059315035703E-001                  2.5184029282398096E-001                  2.4376000000000002E+000                  9.1707212831489494E-006                  4.0797073199631964E+000                  7.4598008262292381E-001                  1.0372783793248697E+049                  1.9999964442632463E+000                  1.2647708481075576E+049                  1.2193166977323437E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  4.8058770132074021E+007                  1.9999909991988327E+000                 -1.2717578676759745E+001                  6.9036850680212050E+000                  3.7296289558254514E-001                  4.0768539937589727E+000                  1.4357259404768363E+000                  1.2229644115169778E+000                  4.5640897562273723E+000                  1.8333140746507923E-002                  7.3681511594156879E+000                  1.9307340775400037E+000                  1.7437395378020614E+001                  7.2580454891443247E-001                  2.7203600296504904E-001                  7.4598059315035625E-001                  2.5184029282397996E-001                  2.8146333333333331E+000                  9.2164426931048213E-006                  4.0773862634245592E+000                  7.4598008262308568E-001                  1.0259345328051946E+049                  1.9999909991988258E+000                  1.2411001463467505E+049                  1.2097264558911303E+000                  7.4599999189376831E-001                  0.0000000000000000E+000                  0.0000000000000000E+000 
